"participant","load","PROLIFIC_PID","negLL","alpha","forget","rho","noise","neg_alpha","K","pre_mean","post_mean","PES","postCorr_mean","PES_adj","accuracy","N","P","D","N_skip","P_skip","D_skip","MSS","MSS_skip","ref","pers","paranoia","ref_skip","pers_skip","checks","z_P","z_N","z_D","z_pers","z_ref","sz","psych","postErr_unadj","postCorr_unadj","PES_trad","rt_pre4","rt_post4","peri_rt","PES_rig","persever"
"001081","2","669b63311c9cf30a26bb4ce4",271.497078294436,0.00393589412626883,0.266643062047085,0.999,0.0191147873290663,0.122470638123926,2.27964432759332,0.72825,0.810825,0.0825750000000001,0.550107594936709,0.260717405063291,0.927777777777778,0,0,2,0,0,0,2,0,13,13,26,0,0,3,-1.19078958004914,-1.38568961069153,-0.438093461509684,0.251323309455007,0.228180361152599,-0.507013796328552,-0.287344842737806,0.795158333333333,0.567711585365854,0.22744674796748,0.6143,0.604328571428571,0.609314285714286,0.201510714285714,0.877529361876074
"001081","4","669b63311c9cf30a26bb4ce4",271.497078294436,0.00393589412626883,0.266643062047085,0.999,0.0191147873290663,0.122470638123926,2.27964432759332,0.720617777777778,0.807795744680851,0.0871779669030732,0.792606167400881,0.0151895772799699,0.761111111111111,0,0,2,0,0,0,2,0,13,13,26,0,0,3,-1.19078958004914,-1.38568961069153,-0.438093461509684,0.251323309455007,0.228180361152599,-0.507013796328552,-0.287344842737806,0.762209302325581,0.806276470588235,-0.0440671682626539,0.758009090909091,0.796,0.777004545454546,0.0307911992263055,0.877529361876074
"002449","2","65c298bf5253915b97025e07",372.552386181248,0.00389455599889778,0.52003499992859,0.999,0.0379880971704508,0.0793227879661299,2.00000000000022,0.68576,0.852581818181818,0.166821818181818,0.516244444444444,0.336337373737374,0.933333333333333,4,5,0,0,0,0,9,0,14,7,21,0,0,3,0.34695561040994,0.117676802580284,-0.946442154956593,-0.34670581864705,0.354761404375593,-0.0947508312475651,-0.147857739704527,0.8971,0.550585185185185,0.346514814814815,0.598575,0.500666666666667,0.549620833333333,0.302960984848485,0.92067721203387
"002449","4","65c298bf5253915b97025e07",372.552386181248,0.00389455599889778,0.52003499992859,0.999,0.0379880971704508,0.0793227879661299,2.00000000000022,0.89609298245614,1.00533793103448,0.109244948578342,0.758620437956204,0.246717493078278,0.544444444444444,4,5,0,0,0,0,9,0,14,7,21,0,0,3,0.34695561040994,0.117676802580284,-0.946442154956593,-0.34670581864705,0.354761404375593,-0.0947508312475651,-0.147857739704527,1.03730273972603,0.809295731707317,0.22800700801871,0.769771428571429,0.87318,0.821475714285714,0.183862216748768,0.92067721203387
"016057","2","66b13a6e0fbdc668a644d664",334.387008739828,0.00888217821475304,0.394628568317453,0.972980229009375,0.10567624770379,0.0856892856132465,1.91555139391375,0.52825,0.831464705882353,0.303214705882353,0.534654263565892,0.296810442316461,0.816666666666667,3,9,1,0,0,0,13,0,0,8,8,0,0,3,1.57715176277721,-0.25816480073767,-0.692267808233139,-0.247034297296707,-1.41737320074633,-0.207537668847328,-0.194880885874742,0.636453333333333,0.568558139534884,0.0678951937984495,0.589933333333333,0.50273,0.546331666666667,0.285133039215686,0.914310714386753
"016057","4","66b13a6e0fbdc668a644d664",334.387008739828,0.00888217821475304,0.394628568317453,0.972980229009375,0.10567624770379,0.0856892856132465,1.91555139391375,0.776388461538462,0.814577777777778,0.0381893162393162,0.745326262626263,0.0692515151515151,0.702777777777778,3,9,1,0,0,0,13,0,0,8,8,0,0,3,1.57715176277721,-0.25816480073767,-0.692267808233139,-0.247034297296707,-1.41737320074633,-0.207537668847328,-0.194880885874742,1.01381395348837,0.808174814814815,0.205639138673557,0.760814285714286,0.700358823529412,0.730586554621849,0.083991223155929,0.914310714386753
"016207","2","66460ef481a3b64f3e759242",281.839500853501,0.00661658812398111,0.319768796362287,0.999,0.0609154548974703,0.0844684148013727,2.78833645435558,0.752277777777778,0.804881818181818,0.0526040404040403,0.594652287581699,0.210229530600119,0.916666666666667,4,2,0,0,0,0,6,0,6,2,8,0,0,3,-0.575691503865511,0.117676802580284,-0.946442154956593,-0.845063425398764,-0.657886941408363,-0.581481444609789,-0.756271006407307,0.751653333333333,0.61758024691358,0.134073086419753,0.652833333333333,0.5523,0.602566666666667,0.202315151515151,0.915531585198627
"016207","4","66460ef481a3b64f3e759242",281.839500853501,0.00661658812398111,0.319768796362287,0.999,0.0609154548974703,0.0844684148013727,2.78833645435558,0.846446666666667,0.930554166666667,0.0841075,0.899439285714286,0.031114880952381,0.755555555555556,4,2,0,0,0,0,6,0,6,2,8,0,0,3,-0.575691503865511,0.117676802580284,-0.946442154956593,-0.845063425398764,-0.657886941408363,-0.581481444609789,-0.756271006407307,0.960820454545455,0.959388432835821,0.00143202170963364,0.960854545454545,0.743213333333333,0.852033939393939,0.0785202272727273,0.915531585198627
"024770","2","66a6b2675a6d17798aaaabd5",239.875535711182,0.0124793005411121,0.317231045521226,0.999,0.0672485370973684,0.143836847462257,2.04124565050981,0.5399,0.67522,0.13532,0.525709655172414,0.149510344827586,0.888888888888889,4,1,1,0,0,0,6,0,3,3,6,0,0,3,-0.883240541957328,0.117676802580284,-0.692267808233139,-0.745391904048421,-1.03763007107735,-0.64817070454719,-0.839632581329058,0.71817,0.547308227848101,0.170861772151899,0.47705,0.58241,0.52973,0.14549,0.856163152537743
"024770","4","66a6b2675a6d17798aaaabd5",239.875535711182,0.0124793005411121,0.317231045521226,0.999,0.0672485370973684,0.143836847462257,2.04124565050981,0.698443181818182,0.949928888888889,0.251485707070707,0.753683613445378,0.196245275443511,0.788888888888889,4,1,1,0,0,0,6,0,3,3,6,0,0,3,-0.883240541957328,0.117676802580284,-0.692267808233139,-0.745391904048421,-1.03763007107735,-0.64817070454719,-0.839632581329058,0.841125,0.767129432624113,0.0739955673758865,0.959075,0.7766125,0.86784375,0.0820851388888888,0.856163152537743
"040276","2","66e9110068b757c1c1ccfb45",246.381363051078,0.00507484523797596,0.34109736880704,0.946765098981535,0.0581339472705321,0.0655381499259196,3.63192807716785,0.445246153846154,0.5826,0.137353846153846,0.517602083333333,0.0649979166666667,0.894444444444444,3,6,6,0,0,0,15,0,8,1,9,0,0,3,0.654504648501757,-0.25816480073767,0.578603925384132,-0.944734946749107,-0.404724854962374,-0.0749032057126523,-0.0290878069563978,0.586594736842105,0.520572611464968,0.0660221253771371,0.583471428571429,0.511545454545455,0.547508441558442,0.0350915584415584,0.93446185007408
