"participant","load","PROLIFIC_PID","condition","flexi","pre_mean","post_mean","PES","postCorr_mean","PES_adj","accuracy","N","P","D","N_skip","P_skip","D_skip","MSS","MSS_skip","ref","pers","paranoia","ref_skip","pers_skip","checks","negLL","alpha","forget","rho","noise","neg_alpha","K","z_P","z_N","z_D","z_pers","z_ref","sz","psych","postErr_unadj","postCorr_unadj","PES_trad","rt_pre4","rt_post4","peri_rt","PES_rig","persever"
"001081","2","669b63311c9cf30a26bb4ce4","negative",0.394785202192242,0.72825,0.810825,0.0825750000000001,0.550107594936709,0.260717405063291,0.927777777777778,0,0,2,0,0,0,2,0,13,13,26,0,0,3,271.497078294436,0.00393589412626883,0.266643062047085,0.999,0.0191147873290663,0.122470638123926,2.27964432759332,-1.19165215863386,-1.38669337004858,-0.43841080560165,0.251505361858058,0.228345649375036,-0.507381064610199,-0.287552988250604,0.795158333333333,0.567711585365854,0.22744674796748,0.6143,0.604328571428571,0.609314285714286,0.201510714285714,0.877529361876074
"001081","2","669b63311c9cf30a26bb4ce4","positive",0.68763887298676,0.72825,0.810825,0.0825750000000001,0.550107594936709,0.260717405063291,0.927777777777778,0,0,2,0,0,0,2,0,13,13,26,0,0,3,271.497078294436,0.00393589412626883,0.266643062047085,0.999,0.0191147873290663,0.122470638123926,2.27964432759332,-1.19165215863386,-1.38669337004858,-0.43841080560165,0.251505361858058,0.228345649375036,-0.507381064610199,-0.287552988250604,0.795158333333333,0.567711585365854,0.22744674796748,0.6143,0.604328571428571,0.609314285714286,0.201510714285714,0.877529361876074
"001081","4","669b63311c9cf30a26bb4ce4","negative",0.394785202192242,0.720617777777778,0.807795744680851,0.0871779669030732,0.792606167400881,0.0151895772799699,0.761111111111111,0,0,2,0,0,0,2,0,13,13,26,0,0,3,271.497078294436,0.00393589412626883,0.266643062047085,0.999,0.0191147873290663,0.122470638123926,2.27964432759332,-1.19165215863386,-1.38669337004858,-0.43841080560165,0.251505361858058,0.228345649375036,-0.507381064610199,-0.287552988250604,0.762209302325581,0.806276470588235,-0.0440671682626539,0.758009090909091,0.796,0.777004545454546,0.0307911992263055,0.877529361876074
"001081","4","669b63311c9cf30a26bb4ce4","positive",0.68763887298676,0.720617777777778,0.807795744680851,0.0871779669030732,0.792606167400881,0.0151895772799699,0.761111111111111,0,0,2,0,0,0,2,0,13,13,26,0,0,3,271.497078294436,0.00393589412626883,0.266643062047085,0.999,0.0191147873290663,0.122470638123926,2.27964432759332,-1.19165215863386,-1.38669337004858,-0.43841080560165,0.251505361858058,0.228345649375036,-0.507381064610199,-0.287552988250604,0.762209302325581,0.806276470588235,-0.0440671682626539,0.758009090909091,0.796,0.777004545454546,0.0307911992263055,0.877529361876074
"002449","2","65c298bf5253915b97025e07","positive",1.84476543203515,0.68576,0.852581818181818,0.166821818181818,0.516244444444444,0.336337373737374,0.933333333333333,4,5,0,0,0,0,9,0,14,7,21,0,0,3,372.552386181248,0.00389455599889778,0.52003499992859,0.999,0.0379880971704508,0.0793227879661299,2.00000000000022,0.347206936491727,0.11776204475197,-0.947127734296735,-0.346956963785848,0.355018384781892,-0.0948194664113988,-0.147964844202241,0.8971,0.550585185185185,0.346514814814815,0.598575,0.500666666666667,0.549620833333333,0.302960984848485,0.92067721203387
"002449","2","65c298bf5253915b97025e07","negative",1.27820443374943,0.68576,0.852581818181818,0.166821818181818,0.516244444444444,0.336337373737374,0.933333333333333,4,5,0,0,0,0,9,0,14,7,21,0,0,3,372.552386181248,0.00389455599889778,0.52003499992859,0.999,0.0379880971704508,0.0793227879661299,2.00000000000022,0.347206936491727,0.11776204475197,-0.947127734296735,-0.346956963785848,0.355018384781892,-0.0948194664113988,-0.147964844202241,0.8971,0.550585185185185,0.346514814814815,0.598575,0.500666666666667,0.549620833333333,0.302960984848485,0.92067721203387
"002449","4","65c298bf5253915b97025e07","positive",1.84476543203515,0.89609298245614,1.00533793103448,0.109244948578342,0.758620437956204,0.246717493078278,0.544444444444444,4,5,0,0,0,0,9,0,14,7,21,0,0,3,372.552386181248,0.00389455599889778,0.52003499992859,0.999,0.0379880971704508,0.0793227879661299,2.00000000000022,0.347206936491727,0.11776204475197,-0.947127734296735,-0.346956963785848,0.355018384781892,-0.0948194664113988,-0.147964844202241,1.03730273972603,0.809295731707317,0.22800700801871,0.769771428571429,0.87318,0.821475714285714,0.183862216748768,0.92067721203387
"002449","4","65c298bf5253915b97025e07","negative",1.27820443374943,0.89609298245614,1.00533793103448,0.109244948578342,0.758620437956204,0.246717493078278,0.544444444444444,4,5,0,0,0,0,9,0,14,7,21,0,0,3,372.552386181248,0.00389455599889778,0.52003499992859,0.999,0.0379880971704508,0.0793227879661299,2.00000000000022,0.347206936491727,0.11776204475197,-0.947127734296735,-0.346956963785848,0.355018384781892,-0.0948194664113988,-0.147964844202241,1.03730273972603,0.809295731707317,0.22800700801871,0.769771428571429,0.87318,0.821475714285714,0.183862216748768,0.92067721203387
"016057","2","66b13a6e0fbdc668a644d664","negative",2.15120068902511,0.52825,0.831464705882353,0.303214705882353,0.534654263565892,0.296810442316461,0.816666666666667,3,9,1,0,0,0,13,0,0,8,8,0,0,3,334.387008739828,0.00888217821475304,0.394628568317453,0.972980229009375,0.10567624770379,0.0856892856132465,1.91555139391375,1.5782942125922,-0.258351808948167,-0.692769269949192,-0.247213242845197,-1.4183999109141,-0.207688004012892,-0.195022052779074,0.636453333333333,0.568558139534884,0.0678951937984495,0.589933333333333,0.50273,0.546331666666667,0.285133039215686,0.914310714386753
"016057","2","66b13a6e0fbdc668a644d664","positive",2.04339980579164,0.52825,0.831464705882353,0.303214705882353,0.534654263565892,0.296810442316461,0.816666666666667,3,9,1,0,0,0,13,0,0,8,8,0,0,3,334.387008739828,0.00888217821475304,0.394628568317453,0.972980229009375,0.10567624770379,0.0856892856132465,1.91555139391375,1.5782942125922,-0.258351808948167,-0.692769269949192,-0.247213242845197,-1.4183999109141,-0.207688004012892,-0.195022052779074,0.636453333333333,0.568558139534884,0.0678951937984495,0.589933333333333,0.50273,0.546331666666667,0.285133039215686,0.914310714386753
